question;choix1;choix2;choix3;choix4;num_bonne_reponse
Quelle réalisateur a adapté Tintin au cinéma en 2011 ?;Guy Ritchie;Steven Spielberg;Alexandre Astier;Gilles Lelouche;2
Quel duo comique incarne les célèbres détectives dans Les Aventures de Tintin ?;Bob Lennon & Fantasio974;Eric & Ramzy;Dupond & Dupont;Ducon & Ducon;3
Quel roman graphique, devenu film culte avec Natalie Portman et Hugo Weaving, met en avant la lutte contre le totalitarisme ?;Sin City;300;V pour Vendetta;Akira;3
Quel comics Marvel a inspiré la série à succès Jessica Jones sur Netflix ?;Alias;Daredevil;Jessica Jones;Luke Cage;1
Quel comics indépendant a donné naissance à une série Netflix sur une fratrie aux super-pouvoirs ?;The Wicked + The Divine;The Umbrella Academy;Chew;Fables;2
Quel comics de Garth Ennis et Steve Dillon est devenu une série Amazon déjantée contre les super-héros ?;Preacher;The Boys;Invincible;Outcast;2
En quelle année paraît le premier album d'Astérix le Gaulois ?;1959;1961;1965;1969;2
En quelle année Superman fait-il sa première apparition dans Action Comics #1 ?;1938;1941;1954;1962;1
Quelle date marque la première apparition officielle de Batman ?;1938;1939;1940;1942;2
En quelle année Les Schtroumpfs apparaissent-ils pour la première fois dans une BD belge ?;1958;1962;1974;1980;1
En quelle année Les Aventures de Titeuf voient-elles le jour en Suisse ?;1992;1997;2001;2006;1
Quel auteur BD franco-belge fut intronisé au Guinness Book pour le plus grand nombre d'albums vendus d'un même personnage ?;Peyo (Les Schtroumpfs);Hergé (Tintin);Uderzo (Astérix);Franquin (Spirou);3
Quel chien espiègle partage la vedette avec Boule dans une série de gags ?;Milou;Bill;Pluto;Spip;2
Quel animal jaune tacheté, star de Franquin, vit dans la jungle palombienne ?;Le Marsupilami;Le Jaguar;Le Lynx;Le Léopard;1
Comment s'appelle le cheval de Lucky Luke ?;Jolly Jumper;Boule;Foudre;Petit Tonerre;1
Quel animal farceur et hyperactif fait le bonheur d'Obélix ?;Idéfix;Rantanplan;Milou;Bill;1
Dans Le Petit Spirou, quel est le rêve du Petit Spirou pour son futur métier ?;Pape;Groom;Pilote de chasse;Président;2
Quel élève porte son tshirt rayé jaune et noir ?;Spirou;Fantasio;Hellboy;Ducobu;4
Quel réalisateur a adapté Hellboy au cinéma en 2004 ?;Tim Burton;Zack Snyder;Guillermo del Toro;David Fincher;3
Qui est l'auteur de L'Élève Ducobu ?;Zidrou;Peyo;Dany;Midam;1
Quel super-vilain est amoureux de la Mort elle-même ?;Doctor Doom;Thanos;Kang;Galactus;2
