question;choix1;choix2;choix3;choix4;num_bonne_reponse
Snowpiercer, film coréen de SF post-apocalyptique par Bong Joon-ho, est adapté d'une bande dessinée de quel pays ?;Corée du Sud;France;États-Unis;Japon;2
Mother de Bong Joon-ho met en scène une mère prête à tout. Quel est le crime dont son fils est accusé ?;Vol;Meurtre;Trafic de drogue;Kidnapping;2
I Saw the Devil propose un face-à-face intense entre :;Un flic et un tueur en série;Deux frères rivaux;Une tueuse à gages et sa cible;Un père et son fils;1
Quel film coréen a été adapté en série Netflix mondiale sous le nom Squid Game ?;The Chaser;Alice in Borderland;Kingdom;Aucun, c'est une création originale;4
Quel super-héro Ryan Reynolds joué avant de devenir Deadpool ?;Green Lantern;Wolverine;The Flash;Captain America;1
Quel film marque le lancement officiel du Marvel Cinematic Universe en 2008 ?;The Incredible Hulk;Iron Man;Thor;Captain America: The First Avenger;2
Qui réalise Les Gardiens de la Galaxie (2014) ?;James Gunn;Joss Whedon;Taika Waititi;Les frères Russo;1
Lequel de ces personnages n'appartient pas à l'univers DC Comics ?;Shazam;Black Panther;Aquaman;Cyborg;2
Qui incarne le Joker, ennemi juré de Batman, dans le film réalisé par Todd Phillips en 2019 ?;Heath Ledger;Jared Leto;Jack Nicholson;Joaquin Phoenix;4
Thor, dieu du tonnerre, possède une arme mythique. Quel est son nom ?;Stormbreaker;Gungnir;Mjolnir;Excalibur;3
Quel nation fictive est-elle la plus avancée technologiquement dans le MC ?;Asgard;Atlantis;Wakanda;Genosha;3
Quel est le nom du groupe principal de super-héros de DC Comics ?;Les Avengers;La Ligue des Justiciers;Les X-Men;Les 4 Fantastiques;2
Quel duo incarne professeur X (jeune et agée) dans les films X-Men des années 2000 ?;Patrick Stewart et James McAvoy;Ian McKellen et Michael Fassbender;Hugh Jackman et Ryan Reynolds;Samuel L. Jackson et Laurence Fishburne;1
De quel couleur est la Pierre du Temps dans l'univers Marvel ?;Verte;Rouge;Bleue;Jaune;1
À quel comédien britannique doit-on le personnage culte de Mr. Bean ?;Rowan Atkinson;Hugh Laurie;Stephen Fry;Ricky Gervais;1
Combien d'oscars a remportée Meryl Streep au cours de sa carrière ?;2;3;4;5;2
Quel acteur a reçu un oscar posthume pour son rôle du Joker en 2008 ?;Joaquin Phoenix;Christian Bale;Jack Nicholson;Heath Ledger;4
Combien de fois Daniel Day-Lewis a-t-il remporté l'Oscar du meilleur acteur ?;1;2;3;4;3
Qui a réalisé La liste de Schindler auréolé de 7 Oscars, dont celui du Meilleur film ?;Steven Spielberg;Martin Scorsese;Clint Eastwood;Francis Ford Coppola;1
En 2005, quel western moderne de Ang Lee met en scène une histoire d'amour entre deux cowboys ?;Django Unchained;Brokeback Mountain;The Assassination of Jesse James;True Grit;2
Quel film italien de Luca Guadagnino, sorti en 2017, est centré sur un amour d'été ?;Call Me by Your Name;The Great Beauty;Cinema Paradiso;La Dolce Vita;1
Dans quelle comédie musicale de 1975 retrouve-t-on la chanson Time Warp?;Rocky Horror Picture Show;Grease;Saturday Night Fever;Moulin Rouge;1
Dans quel film suit-on Chiron, un jeune homme noir grandissant à Miami ?;Moonlight;Get Out;Fruitvale Station;If Beale Street Could Talk;1
Quel film français primé à Cannes en 2019 raconte l'émancipation d'une artiste femme au temps de l'Ancien Régime ?;La Vie d'Adèle;Les Misérables;120 battements par minute;Portrait de la jeune fille en feu;4
Quel est la réalisatrice du film Golden Eighties ?;Agnès Varda;Céline Sciamma;Claire Denis;Chantal Akerman;4
Qui incarne Janet dans The Rocky Horror Picture Show ou encore Louise dans Thelma et Louise ?;Susan Sarandon;Tim Curry;Patricia Quinn;Meat Loaf;1
Dans The Grand Budapest Hotel, qui joue le concierge Gustave H. ?;Adrien Bridy;Willem Dafoe;Ralph Fiennes;Jeff Goldblum;3
Dans quel film réalisé par Wes Anderson suit-on un trio de frères en voyage en Inde ?;Moonrise Kingdom;The Darjeeling Limited;The Royal Tenenbaums;Isle of Dogs;2
Qui joue le tueur présumé dans Le Silence des agneaux?;Anthony Hopkins;Brad Pitt;Morgan Freeman;Kevin Spacey;1
Dans Seven, quel péché capital marque le dernier meurtre ?;Gourmandise;Luxure;Colère;Envie;4
Dans Prisoners, quel acteur interprète le père à la recherche de sa fille disparue ?;Hugh Jackman;Jake Gyllenhaal;Paul Dano;Terrence Howard;1
Qui incarne le tueur en série dans No Country for Old Men ?;Javier Bardem;Josh Brolin;Tommy Lee Jones;Woody Harrelson;1
Quelle ville est terrorisée par un tueur dans Zodiac de David Fincher ?;Los Angeles;San Francisco;New York;Chicago;2
Quel est le nom du compositeur de la bande originale de The Batman (2022) ?;Michael Giacchino;Hans Zimmer;Danny Elfman;John Williams;1
Dans quel film d'aventure des années 80 une bande d'enfants part à la recherche du trésor de Willy le Borgne ?;Stand By Me;Les Goonies;E.T. l'extra-terrestre;Les Gremlins;2
Qui est le créateur et réalisateur de la saga Mad Max ?;Ridley Scott;Quentin Tarantino;George Miller;Steven Spielberg;3
Qui joue le rôle du général Maximus dans Gladiator (2000) ?;Russell Crowe;Sean Penn;Mel Gibson;Djimon Hounsou;1
Quelle créature mythique protège la Chambre des Secrets ?;Acromentule;Basilic;Détraqueur;Hippogriffe;2
Quel film d'horreur sorti en 2025 met en scene la disparition de plusieurs enfants dans une petite ville américaine ?;Sinner;Bring Her Back;Wolf Man;Weapons;1
En France, quelle cérémonie récompense chaque année les meilleurs films ?;César;Oscar;BAFTA;Palme d'or;1
Dans Retour vers le futur, en quelle année Marty McFly retourne-t-il dans le passé au premier épisode ?;1955;1985;1965;2000;1
Les films Jurassic Park et E.T. ont été produits par…;Sony;Universal Pictures;Paramount;Fox;2
Sur quelle colline californienne trouve-t-on le célèbre panneau Hollywood, synonyme de l'industrie du cinéma ?;Beverly Hills;Mulholland Drive;Hollywood Hills;Laurel Canyon;3
Comment appelle-t-on le petit texte qui apparaît avant le dialogue d'un personnage au cinéma muet ?;Sous-titre;Carton;Générique;Voix off;2
Quel accessoire est essentiel pour diriger sur un plateau, mais n'a pas changé de forme en cent ans ?;Le clap;Le micro;La caméra;La chaise de réalisateur;1
Dans Les Dents de la mer, comment Spielberg a-t-il surnommé le requin mécanique du film ?;Big Mouth;Bruce;Jaws;Leviathan;2
Dans La Mouche, qui incarne le savant dont l'expérience tourne au cauchemar ?;Jeff Goldblum;Christopher Lloyd;Sam Neill;Kevin Bacon;1
Dans quel film d'horreur japonais, la cassette vidéo maudite tue ses spectateurs en sept jours ?;Ring;Ju-on;Dark Water;Audition;1
Quel duo français est à l'origine des films La Tour Montparnasse Infernale et Les Dalton ?;Kev Adams & Gad Elmaleh;Les Inconnus;Eric & Ramzy;Omar & Fred;3
Dans Le Prénomé, quel prénom provoque la polémique lors d'un dîner entre amis ?;Adolphe;Lucien;Jean-Marie;Claude;1
Quelle comédie américaine de 2009 suit une bande d'amis réunis à Las Vegas pour un enterrement de vie de garçon ?;American Pie;Projet X;Very Bad Trip;Paul;3
Dans quel film d'action/comédie un inspecteur de Hong Kong, fait équipe avec un policier américain exubérant à Los Angeles ?;Men In Black;L'Arme Fatale;Taxi;Rush Hour;4
En quelle annee est sorti le premier Star Wars ?;1980;1977;1975;1969;2
