question;choix1;choix2;choix3;choix4;num_bonne_reponse
Quel prix international récompense la meilleure série dramatique aux États-Unis ?;Golden Globe;Emmy Award;Peabody Award;BAFTA;2
Quelle série a été récompensée par un Golden Globe pour Meilleure Série Musicale ou Comédie trois années de suite ?;The Marvelous Mrs. Maisel;The Big Bang Theory;Schitt's Creek;Glee;4
Quelle organisation de hackers underground est au cœur de l'intrigue de Mr. Robot ?;Anonymous;fsociety;DarkSide;Evil Corp;2
Qu'utilise toujours Mr. Robot pour cacher son identité au sein de fsociety ?;Un masque de clown;Un masque inspiré de Ghostface de Scream;Un masque inspiré du masque de Guy Fawkes;Un masque de ski;3
Dans quelle série un détective excentrique travaille au commissariat du 99e district de New York ?;Brooklyn Nine-Nine;The Mentalist;Monk;Psych;1
Dans Un gars, une fille, quels sont les prénoms des deux protagonistes ?;Jean et Marie;Paul et Sophie;Léo et Chloé;Jean et Alex;4
Dans Modern Family, quel couple gay marque la série par son humour et sa tendresse ?.;Mitch et Cam;David et Patrick;Jack et Will;Natasha et Karine;1
Quel fils de Ragnar est surnommé le Désossé à cause d'une malformation physique ?;Bjorn;Ivar;Ubbe;Hvitserk;2
Quel est le nom de l'entreprise où les personnages travaillent et subissent la procédure de dissociation dans Severance ?;Initech;Wernham Hogg;Lumon Industries;Dunder Mifflin;3
Quelle ville fictive californienne sert de décor principal à la série Sons Of Anarchy ?;Mayberry;Sunnydale;Stars Hollow;Charming;4
Quelle substance permet de donner leurs pouvoirs aux super-héros dans l'univers de The Boys ?;Le Vought Serum;Le Composé V;Le Super Serum;Le Power-X;2
Quel acteur incarne le patriarche milliardaire Logan Roy de la série HBO Succession ?;Brian Cox;Jeremy Strong;Kieran Culkin;Matthew Macfadyen;1
Quelle technique de réalisation a été saluée dans l'épisode Two Storms de The Haunting of Hill House pour son ambiance et la gestion de la caméra ?;Plan-séquence quasi-continue;Flashbacks simultanés;Caméra subjective;Found footage;1
Quelle série Amazon adapte la mythologie Tolkien après Le Seigneur des Anneaux ?;The Silmarillion;The Hobbit;The Rings of Power;The War of the Jewels;3
Quel est le nom de scène du cousin d'Earn dans la série Atlanta ?;Alfred;Darius;Paper Boi;Earnest;3
Dans Westworld, quel est le rôle de Dolores Abernathy dans l'univers du parc ?;Fermière;Musicienne;Prostituée;Serveuse;1
Dans Killing Eve, qui interprète l'agent Eve Polastri, obsédée par la tueuse en série ?;Jodie Comer;Sandra Oh;Fiona Shaw;Kim Bodnia;2
Dans Normal People, dans quel pays se déroule principalement l'action ?;Irlande;Royaume-Uni;États-Unis;Australie;1
Quelle technique narrative originale Phoebe Waller-Bridge utilise-t-elle pour impliquer le spectateur dans Fleabag?;Monologues chantés;Voix off constante;Flashbacks fréquents;Rupture du quatrième mur;4
Dans quelle ville fictive se déroule l'intrigue principale de Teen Wolf ?;Sunnydale;Mystic Falls;Beacon Hills;Riverdale;3
Quel célèbre réalisateur a produit et réalisé plusieurs épisodes de la série Mindhunter ?;Steven Spielberg;David Fincher;Martin Scorsese;Quentin Tarantino;2

