questions;choix1;choix2;choix3;choix4;num_bonne_reponse
Dans Monster House, quelle partie de la maison est vivante et agressive ?;Le jardin;La porte d'entrée;Toute la maison;Le sous-sol;2
Quel film d'animation japonais est célèbre pour avoir traumatisé le public avec son ambiance d'apocalypse psychologique et de mutations monstrueuses ?;Akira;Nausicaä de la Vallée du Vent;Ghost in the Shell;Perfect Blue;1
Si je vous dis montgolfière de ballons, vous me dites ?;Simpson : le Film;Arthur et les Minimoys;Rango;Là-Haut;4
Elle perd la mémoire, mais retrouve ses parents à Paris malgrès les manigances de Raspoutine;Anastasia;Cendrillon;La Belle au bois dormant;La Princesse et la Grenouille;1
Quelle œuvre française animée primée à Cannes met en images l'histoire d'une enfant iranienne confrontée au régime islamiste ?;Persepolis;Les Triplettes de Belleville;Ernest et Célestine;Le Petit Prince;1
Quel est le premier film officiel du Studio Ghibli, réalisé par Hayao Miyazaki en 1986 ?;Le Tombeau des Lucioles;Le Château dans le ciel;Mon voisin Totoro;Kiki la petite sorcière;2
Comment s'appelle l'esprit protecteur de la forêt dans Princesse Mononoké ?;Moro;Kodama;Shishigami;San;3
Nom du film dont les parents de la jeune héroïne sont transformés en cochons ?;Le Voyage de Chihiro;Mon voisin Totoro;Le Château ambulant;Ponyo sur la falaise;1
De quel film vient le personnage de Jiro, ingénieur constructeur d'avions ?;Le Château dans le ciel;Le Vent se lève;Porco Rosso;Nausicaä de la Vallée du Vent;2
La célèbre réplique Je préfère encore être un cochon décadent qu'un fasciste vient de quel film ?;Le Château dans le ciel;Le Vent se lève;Nausicaä de la Vallée du Vent;Porco Rosso;4
Quels animaux sont au centre du film Pompoko;Des renards;Des tanukis (ratons laveurs);Des lapins;Des chats;2
Dans Le Château ambulant, comment s'appelle le sorcier dont le cœur est d'abord un démon-flamme ?;Calcifer;Howl;Yubaba;Markl;1
Le Tombeau des lucioles raconte la survie de deux enfants après quel événement tragique ?;Un tsunami;Un tremblement de terre;Des bombardements pendant la Seconde Guerre mondiale;Une éruption volcanique;3
Dans Arrietty, qu'est-ce que la famille d'Arrietty emprunte chez les humains ?;De la nourriture;Des vêtements;Des objets du quotidien;Des livres;3
Qui a réalisé Le Tombeau des lucioles ?;Isao Takahata;Hayao Miyazaki;Yoshifumi Kondō;Goro Miyazaki;1
Quel film Ghibli explore la légende d'une princesse trouvée dans un bambou géant ?;Le Château dans le ciel;Les Contes de Terremer;Le Conte de la princesse Kaguya;Nausicaä de la Vallée du Vent;3
Qui a composé la musique de la plupart des films de Miyazaki ?;Joe Hisaishi;Yoko Kanno;Ryuichi Sakamoto;Toru Takemitsu;1
Omoide Poroporo est le titre japonais de quel film Ghibli ?;Le Tombeau des lucioles;Souvenirs goutte à goutte;Le Vent se lève;Le Château ambulant;2
Quel studio est connu pour ses films en pâte à modeler comme Wallace et Gromit et Chicken Run ?;Pixar;Aardman Animations;DreamWorks;Laika;2
Quel studio a créé Moi, Moche et Méchant, Les Minions et Comme des bêtes ?;Sony;Illumination;DreamWorks;Blue Sky Studios;2
Quel studio est spécialisé dans l'animation en stop-motion, à l'origine de Coraline et Kubo et l'armure magique ?;Laika;Aardman;Pixar;DreamWorks;1
Quel studio produit la série Les Simpsons depuis ses débuts ?;Fox Animation Studios;Warner Bros. Animation;Disney Television Animation;Nickelodeon Animation Studio;1
Quel studio a créé Tempête de boulettes géantes, Hôtel Transylvanie et Les Mitchell contre les machines ?;Universal;Illumination;Sony Pictures Animation;Laika;3
Dans Yakari, avec quel cheval l'enfant sioux communique-t-il par la pensée ?;Petit Tonnerre;Éclair;Nuage;Foudre;1
Qui est la jeune citadine malade que Heidi aide à retrouver le goût de vivre ?;Sophie;Marie;Lina;Clara;1
Comment s'appellent les deux héros principaux de la série Les Ratz ?;Ratz et Ratz;Rapido et Rapido;Remy et Ricky;Ratz et Rasta;1
Quel film d'animation Netflix raconte l'origine du Père Noël ?;Le Noël de Mickey;Le Pôle Express;Arthur Christmas;Klaus;4
Quel est le véritable nom de Jinx, l'une des protagonistes centrales d'Arcane ?;Vi;Mel;Powder;Caitlyn;3
Comment s'appelle le héros principal de Cyberpunk: Edgerunners ?;David Martinez;V;Johnny Silverhand;Jackie Welles;1
Quel a été le premier long-métrage d'animation des studios Disney, sorti en 1937 ?;Blanche-Neige et les Sept Nains;Cendrillon;Dumbo;Bambi;1
Quel réalisateur est considéré comme le père du studio Ghibli ?;Mamoru Hosoda;Isao Takahata;Hayao Miyazaki;Satoshi Kon;3
Quels sont les noms des hyènes dans Le Roi Lion ?;Timon, Pumbaa et Zazu;Shenzi, Banzai et Ed;Rafiki, Mufasa et Scar;Nala, Sarabi et Kiara;1
Quel film Ghibli décroche l'Oscar du meilleur film d'animation en 2003 ?;Le Tombeau des lucioles;Le Voyage de Chihiro;Mon voisin Totoro;Princesse Mononoké;2
Comment s'appelle l'ennemi principal, intelligence artificielle malveillante de Code Lyoko ?;X.A.N.A;Z.E.R.O;M.O.N.I.T.O.R;C.Y.B.E.R;1
Lequel de ces films fut le premier long-métrage d'animation entièrement animé par ordinateur ?;Shrek;Antz;A Bug's Life;Toy Story;4
Quel personnage japonais du Studio Ghibli est devenu la mascotte du studio ?;Mononoké;Totoro;Porco Rosso;Calcifer;2
Quel instrument de musique joue Lisa Simpson ?;Le piano;La guitare;Le saxophone;Le violon;2
Qui est le créateur de la série animée South Park ?;Matt Groening;Seth MacFarlane;Trey Parker;Mike Judge;3
Comment s'appelle le personnage constamment tué puis ressuscité dans de nombreux épisodes de la série South Park ?;Kenny;Stan;Cartman;Kyle;1
Dans quelle ville fictive se déroule la série Les Simpson ?;Bikini Bottom;Gravity Falls;South Park;Springfield;4
Dans quel dessin animé français le héros peut littéralement dessiner tout ce dont il a besoin pour résoudre ses problèmes ?;Yakari;Les Mystérieuses Cités d'Or;Il était une fois... la Vie;Didou;4
Qu'est ce qui apparait en tant qu' easter egg dans presque tous les films Pixar ?;Le camion de Pizza Planet;Totoro;Woody;Le ballon de Là-Haut;1
Quelle est le nom de la sit-com fictive a rendu Bojack célèbre dans les années 90 ?;Bojack Horseman;Horsin' Around;The Fresh Prince of Bel-Air;The Office;2
Dans Les Indestructibles, quel est le super-pouvoir de la mère, Hélène Parr ?;Invisibilité;Super force;Elasticité;Télékinésie;3
