question;choix1;choix2;choix3;choix4;num_bonne_reponse
Quel est le club italien ayant pour mascotte une louve ?;AS Rome;Juventus;Naples;Inter Milan;1
Qui a remporté la Coupe d'Afrique des Nations (CAN) en 2024 ?;Cote d'Ivoire;Senegal;Algerie;Tunisie;1
Dans quel pays joue le club Ajax ?;Belgique;Pays-Bas;France;Allemagne;2
Quel coach français a remporté 3 Ligues des Champions consécutives avec Real Madrid ?;Didier Deschamps;Zinedine Zidane;Laurent Blanc;Arsene Wenger;2
En quelle année une joueuse a-t-elle remporté pour la première fois le Ballon d'Or Féminin ?;2016;2018;2017;2019;2
Quel entraîneur légendaire britannique est appelé The Special One ?;Alex Ferguson;José Mourinho;Arsène Wenger;Pep Guardiola;2
Quel joueur détient le record du plus grand nombre de buts inscrits en une année civile ?;Cristiano Ronaldo;Lionel Messi;Neymar Jr;Luis Suárez;2
Quel club a remporté le plus de Ligues des Champions (C1) dans l'histoire ?;AC Milan;Liverpool;Real Madrid;Bayern Munich;3
Qui est le meilleur buteur de l'histoire de l'équipe de France ?;Thierry Henry;Michel Platini;Olivier Giroud;David Trezeguet;3
Quel trio formait la BIP-BIP en Ligue 1 en 2018-2019 ?;Bamba, Ikoné, Pepe;Mbappe, Cavani, Neymar;Depay, Dembélé, Cornet;Payet, Balotelli, Thauvin;1
Quel stade est le plus grand de Ligue 1 en capacité ?;Stade Vélodrome;Parc des Princes;Groupama Stadium;Stade Pierre-Mauroy;1
Quel club a remporté une finale de Ligue des Champions alors qu'il était mené 0-3 à la pause ?;AC Milan;Liverpool;Real Madrid;Manchester United;2
Quel journaliste est célèbre pour son Et 1, et 2, et 3 zéro ! lors de France-Brésil 1998 ?;Thierry Roland;Jean-Michel Larqué;Pierre Cangioni;Christian Jeanpierre;1
De qui provient la cultissime phrase Quand ma femme me parle, je pense à Serge Gakpé ?;Serge Aurier;José Mourinho;Serge Gakpé;Ivan Juric;4
Quel est le premier club français à avoir remporté la Ligue des Champions ?;AS Saint-Étienne;Olympique de Marseille;Paris Saint-Germain;Nantes;2
Quelle chanson est devenue l'hymne officieux de la Coupe du Monde 1998 en France ?;We Are The Champions;Freed From Desire;Waka Waka;I Will Survive;4
En quelle saison le PSG a-t-il remporté son premier titre de champion de France ?;1986;1994;2013;2020;1
Quel club anglais a remporté le plus de championnats de Premier League ?;Liverpool;Arsenal;Manchester United;Chelsea;3
Quel joueur argentin est surnommé El Apache ?;Lionel Messi;Carlos Tevez;Sergio Agüero;Diego Maradona;2
Dans quel stade se joue traditionnellement la finale de la FA Cup ?;Wembley Stadium;Old Trafford;Anfield;Stamford Bridge;1
Qui a inscrit un but historique en finale de Ligue des Champions en 2018, d'un retourné acrobatique ?;Cristiano Ronaldo;Karim Benzema;Sergio Ramos;Gareth Bale;4
Quel est le montant du transfert record de tout les temps en € (novembre 2025) ?;145 millions;222 millions;180 millions;200 millions;2
Qui a dit Il va venir lui faire l'amour sans préliminaires ?;Jean-Charles Sabattier;Gregoire Margotton;Omar da Fonseca;Alexandre Ruiz;3
Parmis ces joueurs, qui a déjà gagné un Ballon d'Or ?;Neymar;Kylian Mbappé;Kaka;Eden Hazard;3
Parmis ces joueurs, qui n'a jamais remporté de Ballon d'Or ?;Luka Modric;Rodri;Fabio Cannavaro;Andres Iniesta;4
Parmis ces joueurs, qui a remporté la Coupe du Monde ?;Neymar;Lionel Messi;Cristiano Ronaldo;Michel Platini;2
Qui remporte la Ligue des Champions 2012 ?;Chelsea;Bayern Munich;Barcelona;Manchester United;1
Combien de fois le LOSC a-t-il remporté le championnat de France de Ligue 1 ?;3;4;5;6;2
Combien de fois le Real Madrid a-t-il remporté la Ligue des Champions ?;12;13;14;15;4
Combien de fois Arsenal a-t-il remporté la Premier League ?;10;13;12;15;2
Combien de fois l'AC Milan a-t-il remporté la Serie A ?;15;16;18;19;4
Combien de fois le FC Barcelone a-t-il remporté la Liga ?;28;26;24;22;1
