question;choix1;choix2;choix3;choix4;num_bonne_reponse
Quel heros de Resident Evil est policier Raccoon City ?;Jill Valentine;Leon S. Kennedy;Chris Redfield;Barry Burton;2
Quel est le heros d'Uncharted ?;Nathan Drake;Sam Fisher;Mario;Lara Croft;1
Quel jeu est le plus vendu de tous les temps ?;Pokemon;Tetris;Minecraft;FIFA;3
Dans quel jeu retrouve-t-on des personnages comme Mario, Sonic, Mega Man ou encore Pac-Man en combat ?;Super Smash Bros;Mario Kart;Street Fighter;Tekken;1
Dans quel jeu Assassin's Creed se passe en Italie ?;Assassin's Creed III;Assassin's Creed IV;Assassin's Creed II;Assassin's Creed: Brotherhood;3
Quel Pokemon est le numero 1 dans le Pokedex ?;Bulbizarre;Pikachu;Salameche;Rondoudou;1
Quel studio a créé la franchise Call of Duty ?;Bungie;Treyarch;Respawn Entertainment;Infinity Ward;4
Qui a créé Tetris ?;Alexey Pajitnov;Sega;Nintendo;Bandai Namco;1
À quel jeu doit-on la célèbre réplique The cake is a lie ?;Portal;Half-Life;BioShock;Mass Effect;1
Quel était le nom originel de la licence avant de s'appeler Pokémon ?;Capsule Monsters;Pocket Monsters;Monster Collection;Pokémon Adventures;2
Sous quel nom Mario est-il apparu pour la première fois dans un jeu vidéo en 1981 ?;Builder;Jumpman;Red Hat;Luigi;2
Qui est le createur de Sonic the Hedgehog ?;Yuji Naka;Hidetaka Miyazaki;Masahiro Sakurai;Eiji Aonuma;1
Dans Celeste, quel est le prénom de l'héroïne principale ?;Claire;Sophie;Madeline;Emily;3
De quel jeu provient la ville de Night City ?;The Witcher 3;Deus Ex;Fallout;Cyberpunk 2077;4
Quel jeu a reçu le plus de récompenses lors d'une même édition des Game Awards ?;God of War;The Last of Us Part II;The Last of Us;Red Dead Redemption II;2
Quel Pokémon de la première génération, connu pour sa faiblesse, possède une évolution spectaculaire inspirée d'une légende asiatique ?;Magicarpe;Poissirène;Aspicot;Trousselin;1
Dans quelle franchise affronte-t-on des créatures appelées Covenant ?;Halo;Mass Effect;Destiny;Gears of War;1
Quel studio se cache derrière les jeux Uncharted ou encore Crash Bandicoot ?;Insomniac Games;Naughty Dog;Rockstar Games;Bungie;2
Combien de générations de Pokémon composent la série principale en 2025 ?;8;9;10;11;2
Que se passe-t-il lorsque l'on mange un champignon rouge dans la majorité des jeux Super Mario ?;On devient invincible;On saute plus haut;On grandit et peut encaisser un coup;On vole;3
En quoi Football Manager se distingue-t-il des jeux comme FIFA ou PES ?;On contrôle les joueurs sur le terrain;C'est un jeu de futsal;Le jeu est centré sur la gestion d’un club;Il n'a pas de licence officielle;3
Quel titre mobile à fait sensation en 2016 en popularisant le concept de la réalité augmentée dans le jeu vidéo ?;Clash Royale VR;Pokémon GO;Candy Crush Saga;Angry Birds;2
Quel jeu a révolutionné la 3D et la plateforme en 1996 sur Nintendo 64 ?;Banjo-Kazooie;Crash Bandicoot;Super Mario 64;Rayman 2;3
